ID,Titel,Fase ID,Fase Label,Oorzaak,Impact,Gevolg,Advies,Beschrijving,Minimale Extra Reistijd (min.),Maximale Extra Reistijd (min.),Station Codes,Station Namen,Starttijd,Geschatte Eindtijd,Eindtijd,Tijdstip collectie
6028026,Zwolle-Kampen,2,Impact bekend,Tekort personeel,2,veel minder treinen,,Tussen Zwolle en Kampen rijden er veel minder treinen door een tekort aan personeel.,,,"KPN, ZL, ZLSH","Kampen, Zwolle, Zwolle Stadshagen",2024-01-01T07:02:34+0100,2024-01-01T11:00:00+0100,2024-01-01T11:00:00+0100,2024-01-01T07:19:55
6028027,Zwolle-Enschede,2,Impact bekend,Tekort personeel,2,minder Sprinters,,Tussen Zwolle en Almelo rijden er minder Sprinters door een tekort aan personeel.,,,"AML, AMRI, BN, ES, ESK, HGL, HNO, NVD, RAT, WDN, ZL","Almelo, Almelo de Riet, Borne, Enschede, Enschede Kennispark, Heino, Hengelo, Nijverdal, Raalte, Wierden, Zwolle",2024-01-01T07:06:06+0100,2024-01-01T10:00:00+0100,2024-01-01T10:00:00+0100,2024-01-01T07:19:55
6028026,Zwolle-Kampen,2,Impact bekend,Tekort personeel,2,veel minder treinen,,Tussen Zwolle en Kampen rijden er veel minder treinen door een tekort aan personeel.,,,"KPN, ZL, ZLSH","Kampen, Zwolle, Zwolle Stadshagen",2024-01-01T07:02:34+0100,2024-01-01T11:00:00+0100,2024-01-01T11:00:00+0100,2024-01-01T07:33:21
6028027,Zwolle-Enschede,2,Impact bekend,Tekort personeel,2,minder Sprinters,,Tussen Zwolle en Almelo rijden er minder Sprinters door een tekort aan personeel.,,,"AML, AMRI, BN, ES, ESK, HGL, HNO, NVD, RAT, WDN, ZL","Almelo, Almelo de Riet, Borne, Enschede, Enschede Kennispark, Heino, Hengelo, Nijverdal, Raalte, Wierden, Zwolle",2024-01-01T07:06:06+0100,2024-01-01T10:00:00+0100,2024-01-01T10:00:00+0100,2024-01-01T07:33:21
6028026,Zwolle-Kampen,2,Impact bekend,Tekort personeel,2,veel minder treinen,,Tussen Zwolle en Kampen rijden er veel minder treinen door een tekort aan personeel.,,,"KPN, ZL, ZLSH","Kampen, Zwolle, Zwolle Stadshagen",2024-01-01T07:02:34+0100,2024-01-01T11:00:00+0100,2024-01-01T11:00:00+0100,2024-01-01T07:41:00
6028027,Zwolle-Enschede,2,Impact bekend,Tekort personeel,2,minder Sprinters,,Tussen Zwolle en Almelo rijden er minder Sprinters door een tekort aan personeel.,,,"AML, AMRI, BN, ES, ESK, HGL, HNO, NVD, RAT, WDN, ZL","Almelo, Almelo de Riet, Borne, Enschede, Enschede Kennispark, Heino, Hengelo, Nijverdal, Raalte, Wierden, Zwolle",2024-01-01T07:06:06+0100,2024-01-01T10:00:00+0100,2024-01-01T10:00:00+0100,2024-01-01T07:41:00
6028026,Zwolle-Kampen,2,Impact bekend,Tekort personeel,2,veel minder treinen,,Tussen Zwolle en Kampen rijden er veel minder treinen door een tekort aan personeel.,,,"KPN, ZL, ZLSH","Kampen, Zwolle, Zwolle Stadshagen",2024-01-01T07:02:34+0100,2024-01-01T11:00:00+0100,2024-01-01T11:00:00+0100,2024-01-01T07:49:05
6028027,Zwolle-Enschede,2,Impact bekend,Tekort personeel,2,minder Sprinters,,Tussen Zwolle en Almelo rijden er minder Sprinters door een tekort aan personeel.,,,"AML, AMRI, BN, ES, ESK, HGL, HNO, NVD, RAT, WDN, ZL","Almelo, Almelo de Riet, Borne, Enschede, Enschede Kennispark, Heino, Hengelo, Nijverdal, Raalte, Wierden, Zwolle",2024-01-01T07:06:06+0100,2024-01-01T10:00:00+0100,2024-01-01T10:00:00+0100,2024-01-01T07:49:05
6028026,Zwolle-Kampen,2,Impact bekend,Tekort personeel,2,veel minder treinen,,Tussen Zwolle en Kampen rijden er veel minder treinen door een tekort aan personeel.,,,"KPN, ZL, ZLSH","Kampen, Zwolle, Zwolle Stadshagen",2024-01-01T07:02:34+0100,2024-01-01T11:00:00+0100,2024-01-01T11:00:00+0100,2024-01-01T07:56:58
6028027,Zwolle-Enschede,2,Impact bekend,Tekort personeel,2,minder Sprinters,,Tussen Zwolle en Almelo rijden er minder Sprinters door een tekort aan personeel.,,,"AML, AMRI, BN, ES, ESK, HGL, HNO, NVD, RAT, WDN, ZL","Almelo, Almelo de Riet, Borne, Enschede, Enschede Kennispark, Heino, Hengelo, Nijverdal, Raalte, Wierden, Zwolle",2024-01-01T07:06:06+0100,2024-01-01T10:00:00+0100,2024-01-01T10:00:00+0100,2024-01-01T07:56:58
6028026,Zwolle-Kampen,2,Impact bekend,Tekort personeel,2,veel minder treinen,,Tussen Zwolle en Kampen rijden er veel minder treinen door een tekort aan personeel.,,,"KPN, ZL, ZLSH","Kampen, Zwolle, Zwolle Stadshagen",2024-01-01T07:02:34+0100,2024-01-01T11:00:00+0100,2024-01-01T11:00:00+0100,2024-01-01T08:11:48
6028027,Zwolle-Enschede,2,Impact bekend,Tekort personeel,2,minder Sprinters,,Tussen Zwolle en Almelo rijden er minder Sprinters door een tekort aan personeel.,,,"AML, AMRI, BN, ES, ESK, HGL, HNO, NVD, RAT, WDN, ZL","Almelo, Almelo de Riet, Borne, Enschede, Enschede Kennispark, Heino, Hengelo, Nijverdal, Raalte, Wierden, Zwolle",2024-01-01T07:06:06+0100,2024-01-01T10:00:00+0100,2024-01-01T10:00:00+0100,2024-01-01T08:11:48
6028026,Zwolle-Kampen,2,Impact bekend,Tekort personeel,2,veel minder treinen,,Tussen Zwolle en Kampen rijden er veel minder treinen door een tekort aan personeel.,,,"KPN, ZL, ZLSH","Kampen, Zwolle, Zwolle Stadshagen",2024-01-01T07:02:34+0100,2024-01-01T11:00:00+0100,2024-01-01T11:00:00+0100,2024-01-01T08:22:45
6028027,Zwolle-Enschede,2,Impact bekend,Tekort personeel,2,minder Sprinters,,Tussen Zwolle en Almelo rijden er minder Sprinters door een tekort aan personeel.,,,"AML, AMRI, BN, ES, ESK, HGL, HNO, NVD, RAT, WDN, ZL","Almelo, Almelo de Riet, Borne, Enschede, Enschede Kennispark, Heino, Hengelo, Nijverdal, Raalte, Wierden, Zwolle",2024-01-01T07:06:06+0100,2024-01-01T10:00:00+0100,2024-01-01T10:00:00+0100,2024-01-01T08:22:45
6028026,Zwolle-Kampen,2,Impact bekend,Tekort personeel,2,veel minder treinen,,Tussen Zwolle en Kampen rijden er veel minder treinen door een tekort aan personeel.,,,"KPN, ZL, ZLSH","Kampen, Zwolle, Zwolle Stadshagen",2024-01-01T07:02:34+0100,2024-01-01T11:00:00+0100,2024-01-01T11:00:00+0100,2024-01-01T08:30:42
6028027,Zwolle-Enschede,2,Impact bekend,Tekort personeel,2,minder Sprinters,,Tussen Zwolle en Almelo rijden er minder Sprinters door een tekort aan personeel.,,,"AML, AMRI, BN, ES, ESK, HGL, HNO, NVD, RAT, WDN, ZL","Almelo, Almelo de Riet, Borne, Enschede, Enschede Kennispark, Heino, Hengelo, Nijverdal, Raalte, Wierden, Zwolle",2024-01-01T07:06:06+0100,2024-01-01T10:00:00+0100,2024-01-01T10:00:00+0100,2024-01-01T08:30:42
6028026,Zwolle-Kampen,2,Impact bekend,Tekort personeel,2,veel minder treinen,,Tussen Zwolle en Kampen rijden er veel minder treinen door een tekort aan personeel.,,,"KPN, ZL, ZLSH","Kampen, Zwolle, Zwolle Stadshagen",2024-01-01T07:02:34+0100,2024-01-01T11:00:00+0100,2024-01-01T11:00:00+0100,2024-01-01T08:38:32
