ID,Titel,Fase ID,Fase Label,Oorzaak,Impact,Gevolg,Beschrijving,Minimale Extra Reistijd (min.),Maximale Extra Reistijd (min.),Starttijd,Geschatte Eindtijd,Eindtijd,Stationscodes,Stationsnamen,Tijdstip collectie
6024961,Arnhem-Zutphen,2,Impact bekend,Seinstoring,3,,Tussen Arnhem Centraal en Zutphen rijden er geen treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T02:00:00,2023-08-16T02:00:00,,,2023-08-15T22:34:58
6024963,Dordrecht-Geldermalsen,1b,Gevolgen bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T02:30:00,2023-08-16T02:30:00,,,2023-08-15T22:34:58
6024959,Amsterdam-Zandvoort aan Zee,3,Vervangend vervoer,Aanrijding,3,,Tussen Haarlem en Zandvoort aan Zee rijden er geen treinen door een aanrijding.,60,,2023-08-15T20:27:36,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T22:49:24
6024961,Arnhem-Zutphen,2,Impact bekend,Seinstoring,3,,Tussen Arnhem Centraal en Zutphen rijden er geen treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T22:49:24
6024962,Arnhem-Winterswijk; Arnhem-Duisburg-Düsseldorf,2,Impact bekend,Seinstoring,3,,Tussen Arnhem Centraal en Zevenaar rijden er geen treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T22:49:24
6024963,Dordrecht-Geldermalsen,1b,Gevolgen bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T02:30:00,2023-08-16T02:30:00,,,2023-08-15T22:49:24
6024959,Amsterdam-Zandvoort aan Zee,4,Storing voorbij,Aanrijding,3,,Tussen Haarlem en Zandvoort aan Zee zijn de beperkingen voorbij.,,,2023-08-15T20:27:36,2023-08-15T23:30:00,2023-08-15T23:30:00,,,2023-08-15T23:09:38
6024962,Arnhem-Winterswijk; Arnhem-Duisburg-Düsseldorf,2,Impact bekend,Seinstoring,3,,Tussen Arnhem Centraal en Zevenaar rijden er geen treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T23:09:38
6024961,Arnhem-Zutphen,2,Impact bekend,Seinstoring,3,,Tussen Arnhem Centraal en Zutphen rijden er geen treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T23:09:38
6024963,Dordrecht-Geldermalsen,2,Impact bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T02:30:00,2023-08-16T02:30:00,,,2023-08-15T23:09:38
6024959,Amsterdam-Zandvoort aan Zee,4,Storing voorbij,Aanrijding,3,,Tussen Haarlem en Zandvoort aan Zee zijn de beperkingen voorbij.,,,2023-08-15T20:27:36,2023-08-15T23:30:00,2023-08-15T23:30:00,,,2023-08-15T23:19:44
6024961,Arnhem-Zutphen,2,Impact bekend,Seinstoring,2,,Tussen Arnhem Centraal en Dieren rijden er minder treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T23:19:44
6024962,Arnhem-Doetinchem,2,Impact bekend,Seinstoring,2,,Tussen Arnhem Centraal en Zevenaar rijden er minder treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T23:19:44
6024963,Dordrecht-Geldermalsen,2,Impact bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T02:30:00,2023-08-16T02:30:00,,,2023-08-15T23:19:44
6024962,Arnhem-Doetinchem,2,Impact bekend,Seinstoring,2,,Tussen Arnhem Centraal en Zevenaar rijden er minder treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T23:34:54
6024961,Arnhem-Zutphen,2,Impact bekend,Seinstoring,2,,Tussen Arnhem Centraal en Dieren rijden er minder treinen door een seinstoring.,,,2023-08-15T21:48:57,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T23:34:54
6024963,Dordrecht-Geldermalsen,2,Impact bekend,Sein- en wisselstoring,3,,Tussen Leerdam en Beesd rijden er geen treinen door een sein- en wisselstoring.,,,2023-08-15T22:21:04,2023-08-16T02:30:00,2023-08-16T02:30:00,,,2023-08-15T23:34:54
