ID,Titel,Fase ID,Fase Label,Oorzaak,Impact,Gevolg,Advies,Beschrijving,Minimale Extra Reistijd (min.),Maximale Extra Reistijd (min.),Station Codes,Station Namen,Starttijd,Geschatte Eindtijd,Eindtijd,Tijdstip collectie
6052805,Breda - Eindhoven; Breda - 's-Hertogenbosch.,4,Storing voorbij,boom op het spoor,4,beperkingen voorbij,,Tussen Breda en Gilze-Rijen zijn de beperkingen voorbij.,,,"BD, BET, BTL, EHS, EHV, GZ, HT, OT, TB, TBR, TBU","'s-Hertogenbosch, Best, Boxtel, Breda, Eindhoven Centraal, Eindhoven Strijp-S, Gilze-Rijen, Oisterwijk, Tilburg, Tilburg Reeshof, Tilburg Universiteit",2025-01-01T15:24:33+0100,2025-01-01T16:30:00+0100,2025-01-01T16:30:00+0100,2025-01-01T16:27:55
6052707,Maastricht - Heerlen - Aachen.,3,Vervangend vervoer,beperkingen materieel,2,geen Sneltreinen,er rijden snelbussen,Door beperkingen in de materieelinzet: tussen Heerlen en Maastricht rijden er geen Sneltreinen.,,,"AHBF, EGHM, HRL, HRLW, HZ, KMR, LG, MES, MT, MTN, SGL, SOG, VDL, VK","Aachen Hbf, Eygelshoven Markt, Heerlen, Heerlen Woonboulevard, Herzogenrath, Houthem-St. Gerlach, Klimmen-Ransdaal, Landgraaf, Maastricht, Maastricht Noord, Meerssen, Schin op Geul, Valkenburg, Voerendaal",2024-12-27T07:43:49+0100,2025-01-03T00:15:00+0100,2025-01-03T00:15:00+0100,2025-01-01T16:37:15
6052796,Venlo - Mönchengladbach - Düsseldorf.,2,Impact bekend,beperkingen materieel,3,geen treinen,,Door beperkingen in de materieelinzet: tussen Venlo en Mönchengladbach Hbf rijden er geen treinen.,,,"DUSSEL, KBOI, KBRY, KDUL, KN, MCGB, NEUSS, VIERS, VL","Boisheim, Breyell, Dülken, Düsseldorf Hbf, Kaldenkirchen, Mönchengladbach Hbf, Neuss Hbf, Venlo, Viersen",2025-01-01T11:08:51+0100,2025-01-01T18:00:00+0100,2025-01-01T18:00:00+0100,2025-01-01T16:37:15
6052800,Alkmaar - Den Helder.,3,Vervangend vervoer,defecte bovenleiding,3,geen treinen,er rijden stopbussen,Door een defecte bovenleiding: tussen Den Helder en Anna Paulowna rijden er geen treinen.,,,"AMR, AMRN, ANA, HDR, HDRZ, HWD, SGN","Alkmaar, Alkmaar Noord, Anna Paulowna, Den Helder, Den Helder Zuid, Heerhugowaard, Schagen",2025-01-01T14:15:00+0100,2025-01-01T18:45:00+0100,2025-01-01T18:45:00+0100,2025-01-01T16:37:15
6052803,Heerlen - Maastricht Randwyck.,2,Impact bekend,voorwerp in bovenleiding,2,vertraging en minder treinen,,Door een voorwerp in de bovenleiding: tussen Valkenburg en Maastricht Randwyck is er vertraging en rijden er minder treinen.,,,"HRL, HRLW, KMR, MES, MT, MTN, MTR, SGL, SOG, VDL, VK","Heerlen, Heerlen Woonboulevard, Houthem-St. Gerlach, Klimmen-Ransdaal, Maastricht, Maastricht Noord, Maastricht Randwyck, Meerssen, Schin op Geul, Valkenburg, Voerendaal",2025-01-01T14:23:54+0100,2025-01-01T18:00:00+0100,2025-01-01T18:00:00+0100,2025-01-01T16:37:15
6052707,Maastricht - Heerlen - Aachen.,3,Vervangend vervoer,beperkingen materieel,2,geen Sneltreinen,er rijden snelbussen,Door beperkingen in de materieelinzet: tussen Heerlen en Maastricht rijden er geen Sneltreinen.,,,"AHBF, EGHM, HRL, HRLW, HZ, KMR, LG, MES, MT, MTN, SGL, SOG, VDL, VK","Aachen Hbf, Eygelshoven Markt, Heerlen, Heerlen Woonboulevard, Herzogenrath, Houthem-St. Gerlach, Klimmen-Ransdaal, Landgraaf, Maastricht, Maastricht Noord, Meerssen, Schin op Geul, Valkenburg, Voerendaal",2024-12-27T07:43:49+0100,2025-01-03T00:15:00+0100,2025-01-03T00:15:00+0100,2025-01-01T16:45:01
6052796,Venlo - Mönchengladbach - Düsseldorf.,2,Impact bekend,beperkingen materieel,3,geen treinen,,Door beperkingen in de materieelinzet: tussen Venlo en Mönchengladbach Hbf rijden er geen treinen.,,,"DUSSEL, KBOI, KBRY, KDUL, KN, MCGB, NEUSS, VIERS, VL","Boisheim, Breyell, Dülken, Düsseldorf Hbf, Kaldenkirchen, Mönchengladbach Hbf, Neuss Hbf, Venlo, Viersen",2025-01-01T11:08:51+0100,2025-01-01T18:00:00+0100,2025-01-01T18:00:00+0100,2025-01-01T16:45:01
6052800,Alkmaar - Den Helder.,3,Vervangend vervoer,defecte bovenleiding,3,geen treinen,er rijden stopbussen,Door een defecte bovenleiding: tussen Den Helder en Anna Paulowna rijden er geen treinen.,,,"AMR, AMRN, ANA, HDR, HDRZ, HWD, SGN","Alkmaar, Alkmaar Noord, Anna Paulowna, Den Helder, Den Helder Zuid, Heerhugowaard, Schagen",2025-01-01T14:15:00+0100,2025-01-01T18:45:00+0100,2025-01-01T18:45:00+0100,2025-01-01T16:45:01
6052803,Heerlen - Maastricht Randwyck.,2,Impact bekend,voorwerp in bovenleiding,2,vertraging en minder treinen,,Door een voorwerp in de bovenleiding: tussen Valkenburg en Maastricht Randwyck is er vertraging en rijden er minder treinen.,,,"HRL, HRLW, KMR, MES, MT, MTN, MTR, SGL, SOG, VDL, VK","Heerlen, Heerlen Woonboulevard, Houthem-St. Gerlach, Klimmen-Ransdaal, Maastricht, Maastricht Noord, Maastricht Randwyck, Meerssen, Schin op Geul, Valkenburg, Voerendaal",2025-01-01T14:23:54+0100,2025-01-01T18:00:00+0100,2025-01-01T18:00:00+0100,2025-01-01T16:45:01
6052707,Maastricht - Heerlen - Aachen.,3,Vervangend vervoer,beperkingen materieel,2,geen Sneltreinen,er rijden snelbussen,Door beperkingen in de materieelinzet: tussen Heerlen en Maastricht rijden er geen Sneltreinen.,,,"AHBF, EGHM, HRL, HRLW, HZ, KMR, LG, MES, MT, MTN, SGL, SOG, VDL, VK","Aachen Hbf, Eygelshoven Markt, Heerlen, Heerlen Woonboulevard, Herzogenrath, Houthem-St. Gerlach, Klimmen-Ransdaal, Landgraaf, Maastricht, Maastricht Noord, Meerssen, Schin op Geul, Valkenburg, Voerendaal",2024-12-27T07:43:49+0100,2025-01-03T00:15:00+0100,2025-01-03T00:15:00+0100,2025-01-01T16:53:09
6052796,Venlo - Mönchengladbach - Düsseldorf.,2,Impact bekend,beperkingen materieel,3,geen treinen,,Door beperkingen in de materieelinzet: tussen Venlo en Mönchengladbach Hbf rijden er geen treinen.,,,"DUSSEL, KBOI, KBRY, KDUL, KN, MCGB, NEUSS, VIERS, VL","Boisheim, Breyell, Dülken, Düsseldorf Hbf, Kaldenkirchen, Mönchengladbach Hbf, Neuss Hbf, Venlo, Viersen",2025-01-01T11:08:51+0100,2025-01-01T18:00:00+0100,2025-01-01T18:00:00+0100,2025-01-01T16:53:09
6052800,Alkmaar - Den Helder.,3,Vervangend vervoer,defecte bovenleiding,3,geen treinen,er rijden stopbussen,Door een defecte bovenleiding: tussen Den Helder en Anna Paulowna rijden er geen treinen.,,,"AMR, AMRN, ANA, HDR, HDRZ, HWD, SGN","Alkmaar, Alkmaar Noord, Anna Paulowna, Den Helder, Den Helder Zuid, Heerhugowaard, Schagen",2025-01-01T14:15:00+0100,2025-01-01T18:45:00+0100,2025-01-01T18:45:00+0100,2025-01-01T16:53:09
6052803,Heerlen - Maastricht Randwyck.,2,Impact bekend,voorwerp in bovenleiding,2,vertraging en minder treinen,,Door een voorwerp in de bovenleiding: tussen Valkenburg en Maastricht Randwyck is er vertraging en rijden er minder treinen.,,,"HRL, HRLW, KMR, MES, MT, MTN, MTR, SGL, SOG, VDL, VK","Heerlen, Heerlen Woonboulevard, Houthem-St. Gerlach, Klimmen-Ransdaal, Maastricht, Maastricht Noord, Maastricht Randwyck, Meerssen, Schin op Geul, Valkenburg, Voerendaal",2025-01-01T14:23:54+0100,2025-01-01T17:15:00+0100,2025-01-01T17:15:00+0100,2025-01-01T16:53:09
6052707,Maastricht - Heerlen - Aachen.,3,Vervangend vervoer,beperkingen materieel,2,geen Sneltreinen,er rijden snelbussen,Door beperkingen in de materieelinzet: tussen Heerlen en Maastricht rijden er geen Sneltreinen.,,,"AHBF, EGHM, HRL, HRLW, HZ, KMR, LG, MES, MT, MTN, SGL, SOG, VDL, VK","Aachen Hbf, Eygelshoven Markt, Heerlen, Heerlen Woonboulevard, Herzogenrath, Houthem-St. Gerlach, Klimmen-Ransdaal, Landgraaf, Maastricht, Maastricht Noord, Meerssen, Schin op Geul, Valkenburg, Voerendaal",2024-12-27T07:43:49+0100,2025-01-03T00:15:00+0100,2025-01-03T00:15:00+0100,2025-01-01T17:08:52
6052796,Venlo - Mönchengladbach - Düsseldorf.,2,Impact bekend,beperkingen materieel,3,geen treinen,,Door beperkingen in de materieelinzet: tussen Venlo en Mönchengladbach Hbf rijden er geen treinen.,,,"DUSSEL, KBOI, KBRY, KDUL, KN, MCGB, NEUSS, VIERS, VL","Boisheim, Breyell, Dülken, Düsseldorf Hbf, Kaldenkirchen, Mönchengladbach Hbf, Neuss Hbf, Venlo, Viersen",2025-01-01T11:08:51+0100,2025-01-01T18:00:00+0100,2025-01-01T18:00:00+0100,2025-01-01T17:08:52
6052800,Alkmaar - Den Helder.,3,Vervangend vervoer,defecte bovenleiding,3,geen treinen,er rijden stopbussen,Door een defecte bovenleiding: tussen Den Helder en Anna Paulowna rijden er geen treinen.,,,"AMR, AMRN, ANA, HDR, HDRZ, HWD, SGN","Alkmaar, Alkmaar Noord, Anna Paulowna, Den Helder, Den Helder Zuid, Heerhugowaard, Schagen",2025-01-01T14:15:00+0100,2025-01-01T18:45:00+0100,2025-01-01T18:45:00+0100,2025-01-01T17:08:52
